X,CXCL8,MMP7,CA4,ADH1C,GUCA2A,GUCA2B,CEMIP,ZG16,CLCA4,MS4A12,CLDN1
T,185.28352,897.5181,24.237247,563.58624,26.115955,28.109184,510.89142,112.60878,28.01684,26.876268,1593.0408
T,10.73136,64.72046,9.445507,62.721767,10.926001,10.94566,809.56445,45.597153,10.821481,10.35417,1093.1094
T,17.99237,212.65723,15.062541,1903.2067,23.08098,18.398249,438.7763,375.65652,130.16881,111.34629,60.383896
T,377.6309,17132.582,27.632092,999.3139,41.606457,3.0756261,552.45044,26.757383,2.9697623,2.7868927,2134.217
T,181.92978,94.901146,727.69147,5455.4004,2.172953,2.399423,1171.2314,323.79498,22.965574,2.225569,941.0808
T,24.753563,271.44275,22.267227,689.4213,1.852002,7.7362165,31.924942,219.62729,10.06632,22.288242,976.6029
T,17.499508,320.41147,11.23547,1788.3245,68.485214,6.222459,81.707466,15.892687,3.4378047,3.171097,1289.7103
T,66.65281,17176.479,3.2361877,13394.185,55.570873,6.9934115,1469.262,1295.46,164.49092,2.35291,641.14624
T,496.47815,25999.922,3.134716,103.29869,35.71114,5.2009506,1088.0249,40.058186,14.277209,2.163347,1223.6523
T,167.13367,99.417435,200.0296,83.20945,7.019358,2.9093847,162.80476,54.76169,4.723329,2.84156,123.168335
T,143.5092,21426.814,237.3124,6804.728,74.02736,62.738647,655.68506,330.99213,37.415607,28.884916,3075.278
T,382.66925,51866.44,487.96393,1786.2168,13.921458,7.9780426,557.7424,9.777445,7.7890196,7.341485,720.8761
T,1170.1171,541.6313,4.1040792,1300.9418,4.6125827,23.51354,719.77234,58.446445,5.122543,4.814312,3095.7375
T,256.46036,190.80156,19.016556,1107.4982,210.4256,7.89508,93.81216,27.3708,95.658424,25.625736,811.45844
T,68.56408,45870.473,7.519574,137.38066,27.585945,5.1280527,1339.4247,193.29643,12.00472,19.001303,1193.7057
T,598.13806,7120.9614,4.394948,42.134296,15.107462,5.5406,1389.8081,18.242558,46.449234,5.152517,1202.74
T,1544.9452,11765.445,28.560286,5791.3555,5.4445024,7.649581,1106.947,11.003969,9.628976,5.9337034,4347.7373
T,590.1781,133.38243,4.691812,407.80774,64.52885,25.58508,96.468094,5.4883347,10.97987,5.450316,974.8266
T,562.3645,1279.5194,66.59919,3885.551,373.34433,29.947172,829.6832,96.313774,14.122549,6.94003,3795.1426
T,45.869343,2321.8281,164.4252,264.62573,205.60466,12.711259,36.20374,171.4949,7.3624105,3.4304419,2631.178
T,48.64874,903.94086,24.241776,31.070955,24.50239,6.8505726,723.4659,124.07061,29.714064,12.114809,2804.1804
T,245.90617,88.97599,80.198235,40.491886,43.00398,4.4626794,424.48798,31.722946,4.4168835,4.1471257,3597.9578
T,144.02283,2630.444,236.67055,5901.8706,5.1435685,5.888616,968.55304,5.260003,5.7830415,5.3424807,2940.9082
T,97.669815,165.15886,5.1242957,6287.6626,43.27044,2.649875,573.82074,64.01959,2.834815,4.9591584,2315.443
T,75.22235,3048.9558,3.0661747,250.3652,3.4994907,3.759794,250.3806,177.07812,3.9373803,3.4689877,1370.1421
T,57.50737,15.702302,410.6074,65.95603,298.5452,22.46755,535.07587,22.544487,3.2642493,2.947288,508.22974
T,199.79457,7785.262,4.12377,564.3725,6.0519767,2.730537,841.98315,19.099194,4.800314,2.521244,1499.2825
T,163.32556,4497.7295,8.132826,12170.624,163.52008,5.3320417,118.42711,136.02509,12.528859,19.55715,4687.426
T,253.01631,5891.8877,13.306591,226.30452,8.56898,6.4453745,3431.6465,197.61829,2.7570941,37.17387,2781.8203
T,327.37152,5858.484,2.414018,131.24728,13.073982,2.39157,2167.2068,43.885204,5.3825593,2.630373,4495.9253
T,342.70605,1742.2651,52.586563,1494.7323,25.41479,3.352867,3934.928,259.77798,26.69059,13.21764,1016.1612
T,369.27335,3945.0593,10.761799,376.79507,4.1519847,4.477246,1489.3304,10.663331,4.514414,4.147385,3098.3232
T,224.84805,13571.096,6.739899,8181.3335,7.9173665,7.1073036,433.5268,180.00687,471.1436,10.501149,1236.5421
T,56.112705,2198.0127,3.3660448,215.36649,258.09064,5.033368,44.25616,20.969944,3.2996547,3.386024,996.1475
T,31.116442,1080.4398,4.0204887,373.97467,17.409822,5.278688,1202.0969,38.388325,5.0828285,4.6945724,2380.3674
T,103.83882,624.0768,15.724528,1729.0067,54.786835,5.8864326,367.01526,155.39775,5.836837,14.552131,2079.767
