X,CXCL8,MMP7,CA4,ADH1C,GUCA2A,GUCA2B,CEMIP,ZG16,CLCA4,MS4A12,CLDN1
T,10.918088,8.339717,9.530801,2.19227,8.290596,4.914321,6.117011,4.285548,7.028349,2.852849,7.668832
T,9.368597,8.144787,3.189428,3.993731,3.531856,2.00652,7.265083,5.64809,5.862576,5.490509,7.84516
T,11.63967,6.8580437,3.051754,2.2672787,6.390039,0.5338619,7.7760105,2.920843,2.4708877,2.247386,9.137929
T,10.351391,7.872794,5.249527,5.704572,4.861084,2.695546,7.545072,7.212279,7.660869,6.223823,8.862983
T,11.897034,9.826459,3.187307,3.527458,3.153878,3.088835,7.015465,4.477533,2.394112,1.402822,7.335523
T,10.165503,6.586849,6.505682,7.755233,7.533363,4.569316,9.125708,9.833159,4.862829,5.594748,7.159921
T,11.142974,9.95785,7.242723,7.78176,6.482532,4.348353,7.826844,11.123953,6.904053,6.935188,7.138825
T,9.957159,8.356117,6.743766,5.50729,6.037856,3.350171,7.633322,9.039953,7.033606,8.011214,8.481233
T,9.001779,7.700466,2.973377,8.926894,5.138029,2.344439,8.56073,7.610558,5.447844,6.60298,7.470172
T,10.152208,7.022027,3.324216,9.377039,3.620139,3.176594,8.903545,3.735409,3.342501,4.022142,8.47932
T,11.28916,10.527015,6.688653,4.87194,5.503229,2.215812,9.179459,8.509181,8.050756,7.241579,8.261346
T,8.90813,4.714105,11.27351,9.508377,11.380515,8.795253,3.713427,12.321213,11.540318,10.823166,5.556038
N,9.991164,3.137364,9.046644,10.892364,9.937971,6.558366,1.641072,12.017482,8.957149,11.108373,5.33425
N,6.461018,3.305048,11.439055,11.234729,11.213759,9.699046,1.625223,11.152245,12.319925,11.767667,4.842654
N,9.853635,2.455422,10.488582,11.374228,10.690062,8.209669,2.369501,12.000516,12.034467,11.874969,5.20162
N,9.440381,3.365932,7.837884,11.424293,10.047841,7.824564,1.270334,12.434472,10.046311,11.849486,5.077441
N,8.217641,2.796813,6.430911,9.77498,10.907383,7.150544,2.732088,11.131864,6.362825,2.139103,5.236301
N,7.797989,2.044581,4.573656,8.534639,11.371043,9.038736,2.663897,11.442965,1.634054,1.646089,4.45791
N,9.281323,2.797073,9.026239,11.258436,10.088936,8.051901,2.817683,12.128888,8.199739,10.409044,5.254957
N,11.574453,3.752366,7.770418,9.969394,7.112311,4.766706,4.781768,11.60549,9.741343,5.7005,5.810111
N,7.368983,1.893776,5.706646,10.403412,8.107419,5.92821,3.573724,9.102787,6.181702,9.843661,5.175478
N,3.9587011,2.1337159,9.689685,11.385005,11.339387,9.045126,0.7711606,12.1045685,11.984154,12.394491,4.847528
N,9.020658,3.186697,10.445873,11.696016,10.924728,9.743113,2.523564,11.900655,11.864025,10.51185,4.997402
N,7.586217,2.21932,9.490114,10.90403,9.540542,7.202144,3.761718,11.109244,11.306851,10.312574,6.009391
N,6.729147,2.803022,10.721548,10.657943,11.893482,10.858333,1.971241,11.834885,11.558226,12.039111,4.940275
N,3.476214,2.51411,10.902904,10.810962,11.535132,8.663528,2.147429,12.22028,11.781901,12.366048,5.068283
N,9.859609,2.428729,8.627653,10.848273,9.73532,8.29341,3.807462,11.416306,8.987959,10.11674,4.797919
N,9.644265,3.670888,10.014911,10.025862,10.069352,9.21503,3.485175,11.148407,11.559611,10.08351,4.888197
N,8.006918,3.517075,11.071534,9.855163,9.924042,8.131237,3.329045,11.093355,11.405011,10.712378,5.505564
N,6.163952,1.872928,9.463143,9.153231,10.532754,7.641786,4.416638,11.208387,11.388576,9.662134,4.684096
N,9.169838,1.952231,10.610142,10.595058,11.358994,8.946479,1.844013,12.116728,9.484209,11.678943,4.863987
N,10.375865,2.043951,8.677939,9.498,9.627083,7.150662,4.618135,11.5372,10.121043,8.747558,4.714969
N,9.293053,3.655676,7.845081,10.649482,8.384654,5.729244,1.885086,12.252254,5.231031,9.752377,5.745761
N,9.160336,6.366215,10.289546,10.743522,10.98624,8.073049,4.759105,12.568709,9.088179,10.141843,5.943793
N,4.408479,3.259872,10.829169,11.013731,11.366849,10.051665,2.09205,11.651341,10.236717,10.022339,5.10037
