X,CXCL8,MMP7,CA4,ADH1C,GUCA2A,GUCA2B,CEMIP,ZG16,CLCA4,MS4A12,CLDN1
T,10.043638,4.902246,9.71849,7.64356,9.601326,6.504148,7.831662,11.228152,9.519964,8.581914,8.92831
T,8.893179,4.295687,7.867429,5.56369,6.574669,4.489766,8.239537,7.189169,8.140552,8.296644,9.933305
T,11.390566,8.346231,8.260791,8.088384,9.47432,7.311585,7.707933,9.656276,9.841129,7.555412,8.521545
T,9.106744,4.083036,1.202995,3.176665,2.910277,0.865383,7.039363,2.689783,2.297779,2.207674,7.905348
T,10.011449,6.792814,3.00284,1.971564,2.196143,3.340715,9.176576,3.185271,2.036881,1.61473,7.860809
T,9.984623,4.713807,5.239613,8.100693,3.368625,2.86832,6.086914,10.768015,3.967958,5.565689,7.30519
T,10.337755,5.683143,10.937687,8.495645,10.964861,7.880243,5.868243,12.346626,9.958071,11.264517,6.605453
T,9.539895,7.484878,8.826888,8.5385,9.35937,7.544891,6.290525,11.26084,10.022763,9.8688,7.690541
T,12.029841,7.1770663,2.6747072,2.2404728,5.9501615,1.9347959,4.936972,5.0557456,2.0927405,0.7420363,9.321809
T,7.689516,5.383922,8.985945,10.238608,9.827229,5.747142,5.568989,11.960378,7.678321,10.591246,5.572447
T,10.549721,10.118282,9.511349,8.39843,7.984909,5.294764,8.056618,10.379442,11.010889,9.882798,9.210921
T,11.059812,9.285153,8.877436,8.216251,7.342027,3.443597,7.892873,9.995368,8.368949,9.207464,7.786178
T,9.557192,5.804069,6.127368,6.798354,6.179445,2.520397,8.199245,5.934205,4.880743,7.629809,8.156116
T,12.442811,8.838215,5.149955,8.984559,7.523654,3.953464,8.836425,9.592532,9.320135,8.012924,8.512589
T,12.264008,8.179834,5.949942,4.660643,6.190858,2.674739,7.518307,8.960702,6.693897,7.319024,8.356541
T,10.399308,5.418535,8.208263,9.748478,10.001979,5.635695,6.288129,11.804568,10.370271,10.021991,8.269036
T,6.823166,2.142333,3.12165,1.636787,2.539817,2.199452,6.626588,4.155658,1.727209,2.863701,7.731324
T,8.506441,4.752673,3.121466,3.748873,3.82982,1.597367,7.177178,2.015716,1.058487,6.640604,7.409994
T,7.159631,8.821286,2.904841,3.977854,3.423619,2.695026,6.00635,2.563116,2.569765,1.519452,5.928353
T,11.858827,8.02681,7.227603,5.816106,6.889661,3.862884,8.687948,8.566013,7.799598,6.749017,8.138878
T,9.401472,11.033457,3.6218903,4.855479,3.742202,2.8317988,5.5048995,7.298112,0.9186181,3.3826573,10.417704
T,11.722824,10.129101,9.236618,9.132576,9.022653,5.783046,5.890287,10.988117,7.656105,6.966126,7.31184
T,8.184014,5.690038,7.166578,8.325644,7.999703,5.196883,6.629227,10.280402,8.49983,9.090051,8.054994
T,11.972281,8.291325,2.544834,4.603443,4.795251,1.024419,8.490663,6.234075,1.122149,1.022662,8.514727
