X,CXCL8,MMP7,CA4,ADH1C,GUCA2A,GUCA2B,CEMIP,ZG16,CLCA4,MS4A12,CLDN1
T,4378.62,2589.14,122.21,179.014,275.536,23.9673,1317.38,25.1098,393.865,130.491,4690.14
T,1752.46,424.901,73.4639,473.559,148.132,23.2043,1648.96,25.3112,157.245,576.14,2750.09
T,1373.6,815.9,27.6438,11244.6,964.744,23.3825,1081.95,212.686,6603.47,370.619,1920.57
T,3314.17,9468.82,108.928,124.492,71.9302,11.1532,2416.75,16.4452,544.833,453.632,4455.67
T,3840.09,3217.94,112.585,43.4116,141.351,8.38412,2652.68,64.792,13.6279,51.9951,4273.59
T,6311.03,729.925,90.4168,613.914,345.253,8.17877,870.239,270.216,7.79894,218.097,7314.26
T,7162.38,1084.45,8.7744,50.586,218.691,7.2012,6309.97,10.1243,44.5733,44.3574,7816.05
T,304.075,951.258,13.0156,7387.28,26.372,89.2618,1392.14,121.08,21.5001,29.0897,2791.8
T,1475.72,757.082,441.279,1215.85,662.835,179.044,932.354,1378.44,273.303,1682.2,1430.17
T,1259.58,594.162,101.373,59.1934,96.8187,4.82813,3961.44,2602.51,11.7681,8.45518,3194.92
T,27538.3,728.804,50.1188,78.227,83.9454,36.5204,3869.07,152.449,18.3582,107.484,5080.27
T,1124.23,1259.45,110.892,5988.34,241.726,14.1898,380.352,15.5761,9.16808,47.4032,9112.02
T,1151.25,1049.71,142.28,173.784,148.14,46.001,1779,209.912,347.874,391.892,4576.91
T,11811.2,41203.3,126.498,728.025,146.063,5.1049,4015.3,3383.6,113.643,206.405,3061.34
T,5251.29,271.204,64.3044,51.8381,266.596,6.13748,508.313,85.3118,12.1085,12.795,2948.73
T,1756.48,1135.12,133.249,5879.69,81.1658,8.41907,1054.54,33.5503,41.5927,80.1294,8033.7
T,3833.84,425.481,135.681,36.1178,596.929,27.0984,141.093,33.2768,7.17623,183.532,2486.28
T,2113.15,2924.19,578.227,757.163,1057.42,52.894,1448.64,2310,627.985,899.789,6336.93
T,2650.48,27187.9,123.927,1092.7,117.393,14.631,2670.9,663.229,607.228,26.5951,5733.77
T,2476.31,636.714,1215.59,295.998,673.516,11.8811,1404.2,2670.8,1222.81,1821.2,2632.52
T,460.871,2506.18,38.5011,930.761,745.808,10.3831,1951.62,357.415,5.35818,776.194,5230.92
T,2057.4,822.505,399.097,1902.88,674.599,15.9093,3144.51,6256.74,456.374,1354.66,915.964
T,2092.17,2872.26,983.628,419.947,222.466,10.1466,2488.29,330.911,872.915,387.122,6762.97
T,667.719,686.836,126.138,80.7235,277.742,8.07094,3107.04,93.6967,25.4921,22.1569,2444.11
T,3169.77,4593.24,143.474,858.808,280.548,22.6048,463.927,9.26964,5.8274,20.4131,1814.88
T,4588.46,2476.18,18.7033,71.6702,93.1303,7.40178,2109.45,171.158,5.83692,281.993,2129.51
T,3389.72,2735.83,278.263,2448.03,236.209,6.74416,666.149,2519.03,33.0133,423.901,5592.64
T,1199.63,876.63,167.852,146.708,41.4439,5.2273,390.218,7.55719,12.3984,66.5954,7131.53
T,1922.64,3704.31,433.364,1595.22,731.047,178.238,1669.48,1190.22,291.948,862.625,5592.2
T,917.719,318.267,131.384,95.2616,37.9938,69.6956,4589.35,94.354,53.9468,7.18128,4174.25
T,2811.96,17968.4,97.9368,17.4845,73.5008,4.28131,5322.1,40.2996,47.5593,14.0355,1493.32
T,5462.1,1305.31,62.2296,107.603,1209.19,7.48098,3111.85,135.098,3.06354,60.0382,3950.62
T,3684.82,2489.38,214.402,5.41293,53.9842,5.02545,615.816,31.9434,40.1305,11.3694,4123.63
T,5631.9,183.288,2857.3,452.981,997.505,33.5993,6800.82,4119.26,3989.34,1082.48,4991.36
T,752.471,156.128,2092.17,1906.61,1730.52,232.302,1562.11,10778.2,7029.98,2953.94,1104.97
T,2868.23,1325.19,1493.35,2013.04,598.246,6.11524,173.135,1745.21,1214.18,1643.54,2885.4
T,4066.06,1731.78,120.589,1485.81,167.621,2.82252,2267.86,15.715,4.14075,11.7848,8066.09
T,848.789,752.796,492.512,23624.9,694.89,84.5418,2775.66,991.064,541.067,675.934,1180.03
T,4189.78,1573.93,4168.88,12538.2,3821.8,231.201,331.379,42039.3,10099.2,3191.36,1694.45
T,3787.36,5028.56,1204.79,211.872,362.541,9.0262,2201.51,278.834,17.2413,144.105,4354.32
T,5618.86,16023.2,231.465,883.507,635.108,54.4438,1180.88,773.334,473.51,354.147,2904.94
T,2011.86,534.268,2813.45,1519.51,1967.49,328.108,1554.97,4943.14,1793.24,758.851,6063.45
T,25133.5,1787.11,132.599,5253.01,220.931,14.2257,2047.97,15.0633,2.88459,3.25028,4154.57
T,3360.28,3867.11,1122.66,544.776,394.175,41.9373,1153.96,162.036,14.5359,116.16,4429.62
T,3844.23,3155.27,251.735,608.395,213.316,16.9805,1579.68,829.55,457.487,399.169,4729.22
T,5586.48,99.1338,62.9979,43.7543,197.216,4.38966,551.369,29.0641,6.77885,10.8829,4864.06
T,13034.2,3507.76,173.658,133.32,142.888,5.18681,3165.2,18.3465,3.56862,127.776,3434.59
T,833.391,1695.58,102.552,11711.5,686.172,15.0629,821.938,17.6098,19.2547,111.702,3463.46
T,981.834,492.46,88.3998,524.714,442.137,16.8417,1178.18,31.2129,85.8029,89.0363,4874.14
T,16384.8,1466.78,62.0887,171.22,122.196,8.42712,5560.56,332.995,1083.95,159.895,1948.06
T,2420.36,405.157,138.102,307.9,225.509,37.3516,1609.77,17.4974,74.6074,410.941,2291.01
T,4793.59,935.765,714.84,2586.19,1086.5,62.7219,2208.71,19502,93.1142,1630.98,2637.72
T,3666.02,3115.14,72.7019,101.622,42.3053,8.94408,3291.31,13.6234,25.859,23.723,3591.5
T,2023.61,2775.95,104.418,902.679,161.531,8.45548,4633.38,87.3607,20.8484,130.435,4365.39
T,3404.24,11054.8,152.42,353.712,569.553,6.64081,1288.42,102.788,86.4905,59.0234,4851.45
T,1865.88,1151.77,122.369,259.44,442.583,7.66042,3318.08,134.301,7.56308,9.79446,2870.83
T,481.871,118.356,61.087,189.339,134.589,3.4166,1441.61,87.3992,18.7964,17.5451,2328.55
T,1427.15,595.619,84.7455,13.9219,48.1972,43.7766,7316.38,9.6625,209.951,12.4945,2415.49
T,4040.02,3460.02,63.037,839.305,128.617,8.05325,5418.74,20.8267,2.30548,11.3144,4957.31
T,8380.28,12355.4,225.326,812.68,2261.42,39.9075,1241.03,121.114,202.166,82.8424,3172.89
T,1346.92,2152.32,151.294,789.182,140.038,11.3915,1507.24,185.247,273.072,101.96,4121.01
T,5516.84,5356.33,208.25,205.792,1710.72,4.24977,4133.34,369.914,218.068,207.941,4643.41
T,1210.13,10014.8,57.0288,94.2955,65.0114,5.97653,1342.26,7794.21,3.99661,15.3118,2796.38
T,1533.37,3296.16,2827.01,3904.34,2732.19,9.19117,704.071,3006.9,1566.14,3645.42,4122.31
T,2215.18,641.629,248.039,423.333,182.154,6.70385,1103.61,101.385,5.83927,13.408,1511.38
T,575.902,2525.62,412.067,1416.96,528.001,14.4993,1945.05,105.555,15.3985,87.882,4698.87
T,1002.99,1319.83,116.91,467.885,332.501,12.7913,3448.57,187.321,24.8549,243.707,2032.83
T,465.733,901.817,84.3844,253.75,37.2546,9.10833,3209.19,28.1056,6.08752,12.9344,4626.16
T,5466.54,378.842,86.2218,6.51338,91.6633,5.5668,3805.81,214.995,14.4411,9.69136,4464.52
T,2247.39,723.76,138.175,16.9176,84.7397,5.77128,158.824,128.299,1.71164,60.8593,1099.47
N,7.46925,50.8929,10580.1,14743.7,19337.5,4198.75,88.448,21187.6,27851.3,24030.8,261.912
N,6.30185,84.4712,11377.5,18551.6,30488.5,6656.96,49.2346,45405.9,38010.7,11762.2,224.078
N,25.8888,50.771,10850.2,19785.1,21948.3,5208.77,13.5212,28524.8,44906.2,38591.1,298.766
N,75.6316,36.9586,19834.5,14593.5,39483.5,11434.3,31.8736,28957.6,60635.9,31536.4,133.963
N,134.013,98.3148,11655.1,21606.2,24297.2,9116.54,60.188,20023.7,53961.3,60105.3,143.24
N,53.0079,73.5638,10199.4,13140.3,33967,18875.3,63.4434,28806.5,36915.3,27182.3,203.007
N,80.3498,51.5577,9324.31,21265.1,31097.7,7199.11,107.774,25719.8,36968.4,36352.1,186.461
N,15.7298,52.8664,17702.5,13179.5,42409.4,15454.2,3.63464,19445.4,44046.1,47142.9,144.389
N,59.5227,205.937,19593.9,13068.3,34345.3,9358.1,42.8305,32114.2,35670.6,33005.5,198.244
N,219.4,159.996,6151.66,12322.6,15802,5222.85,9.80175,26932.6,38109.2,28341.8,179.109
N,54.2756,159.044,6326.05,16439.8,24044.8,6534.66,147.58,25873.8,50611.6,23089.3,237.37
N,40.3754,95.0398,7108.79,14523.6,19710.5,7902.64,36.6531,37315.3,36406.8,31502.8,362.66
